iter	RMSE
144	5.013537019
145	5.009466439
146	5.003716731
147	4.9984828
148	4.995052637
149	4.99197852
150	4.984687174
151	4.981354886
152	4.97774538
153	4.974710406
154	4.968469142
155	4.964596817
156	4.958272424
157	4.954984911
158	4.95158837
159	4.945477556
160	4.940476645
161	4.934518836
162	4.931059918
163	4.929152212
164	4.926085193
165	4.922892082
166	4.921381323
167	4.916225947
168	4.911559967
169	4.907634609
170	4.901761092
171	4.89317424
172	4.889078816
173	4.883889686
174	4.880524584
175	4.876610411
176	4.872064093
177	4.866711014
178	4.8615428
179	4.855870788
180	4.85193808
181	4.848111309
182	4.84351775
183	4.83913505
184	4.832415542
185	4.827064166
186	4.822982153
187	4.818806418
188	4.81645698
189	4.812279905
190	4.806775083
191	4.804882679
192	4.801457541
193	4.797499724
194	4.795935408
195	4.791110991
196	4.786924557
197	4.781370611
198	4.778341837
199	4.775588433
200	4.771468929
201	4.767687551
202	4.76421177
203	4.761105391
204	4.755484567
205	4.753205454
206	4.750790761
207	4.749429673
208	4.748310329
209	4.744570027
210	4.740014948
211	4.731833908
212	4.729410601
213	4.725880458
214	4.722786308
215	4.719533533
216	4.717300372
217	4.715465367
218	4.714345381
219	4.7115164
220	4.710016854
221	4.705433525
222	4.701759587
223	4.699987674
224	4.692189187
225	4.686826672
226	4.68580998
227	4.683652421
228	4.679379098
229	4.676437091
230	4.671393448
231	4.668329998
232	4.664635697
233	4.660341676
234	4.657817196
235	4.65485233
236	4.654171794
237	4.651115414
238	4.646337118
239	4.64326671
240	4.641814207
241	4.638419314
242	4.633422044
243	4.62999403
244	4.627901417
245	4.625630524
246	4.62480913
247	4.620987437
248	4.614790251
249	4.613571981
250	4.609109783
251	4.607563095
252	4.602289057
253	4.599269894
254	4.595403353
255	4.592494764
256	4.587801336
257	4.587032178
258	4.581374614
259	4.57947808
260	4.57687431
261	4.569953114
262	4.567507459
263	4.564466165
264	4.563211154
265	4.562260738
266	4.559617237
267	4.556106169
268	4.552920359
269	4.550234289
270	4.547188384
271	4.544116739
272	4.538953127
273	4.535813547
274	4.533480197
275	4.528134955
276	4.525951814
277	4.520837822
278	4.518482741
279	4.514996419
280	4.511367855
281	4.508809245
282	4.504480937
283	4.504193268
284	4.501918666
285	4.501859313
286	4.495936293
287	4.493708603
288	4.489322123
289	4.484690998
290	4.480821099
291	4.477473935
292	4.474499119
293	4.472878074
294	4.470402989
295	4.463409966
296	4.45934125
297	4.454492067
298	4.450529266
299	4.447143217
300	4.44494211
301	4.44457193
302	4.441090464
303	4.43857444
304	4.435143285
305	4.430981104
306	4.423877352
307	4.421684447
308	4.415870698
309	4.414252622
310	4.412481805
311	4.407933997
312	4.405461915
313	4.400661349
314	4.396326553
315	4.389967273
316	4.384266567
317	4.38197537
318	4.38045336
319	4.373939046
320	4.370909184
321	4.365031299
322	4.362274438
323	4.356878183
324	4.354868925
325	4.353604649
326	4.34988358
327	4.345191299
328	4.344058658
329	4.34019181
330	4.338992033
331	4.338164554
332	4.336391679
333	4.335691051
334	4.332054395
335	4.329371616
336	4.327015533
337	4.326688092
338	4.32160765
339	4.318743624
340	4.313044577
341	4.309509776
342	4.30768703
343	4.305318856
344	4.30353638
345	4.301703043
346	4.298722694
347	4.29491559
348	4.291872725
349	4.288934368
350	4.288710243
351	4.284489198
352	4.280207829
353	4.279189595
354	4.275689577
355	4.269877178
356	4.268111368
357	4.266264519
358	4.26342593
359	4.2584771
360	4.256616461
361	4.255680721
362	4.253372972
363	4.250897333
364	4.247662735
365	4.244137009
366	4.238020637
367	4.232280982
368	4.22844274
369	4.226861782
370	4.224888936
371	4.221080538
372	4.217713502
373	4.213342676
374	4.211124647
375	4.208128986
376	4.206598204
377	4.204846041
378	4.20037769
379	4.197452967
380	4.19443925
381	4.193379788
382	4.19210458
383	4.188245065
384	4.186129074
385	4.182797208
386	4.180172571
387	4.177542381
388	4.175718
389	4.172752251
390	4.170493439
391	4.166147001
392	4.161254201
393	4.159284431
394	4.155248978
395	4.154131505
396	4.150380385
397	4.147364279
398	4.144040916
399	4.142457718
400	4.138955244
401	4.137468572
402	4.136965136
403	4.134078795
404	4.133657995
405	4.129150571
406	4.126759242
407	4.125573857
408	4.1238349
409	4.119876888
410	4.115657985
411	4.113815945
412	4.108768973
413	4.107295102
414	4.104942872
415	4.104242716
416	4.101821842
417	4.101184836
418	4.098295083
419	4.093188418
420	4.092714759
421	4.091289074
422	4.08694728
423	4.084962615
424	4.08196872
425	4.078607769
426	4.076309029
427	4.074096484
428	4.070925202
429	4.066990754
430	4.0662261
431	4.065028166
432	4.064003436
433	4.060709764
434	4.057510317
435	4.054922994
436	4.05459699
437	4.051627671
438	4.051455078
439	4.048858216
440	4.046895795
441	4.045315522
442	4.043829451
443	4.04328611
444	4.042817213
445	4.040106711
446	4.037700275
447	4.0351519
448	4.029703083
449	4.027379809
450	4.02440954
451	4.020316021
452	4.016807015
453	4.011959165
454	4.011566082
455	4.00716241
456	4.004588753
457	4.002012469
458	3.998899671
459	3.9985166
460	3.997954304
461	3.99506061
462	3.991243864
463	3.990226471
464	3.988173815
465	3.986172163
466	3.982423987
467	3.980445284
468	3.97843221
469	3.97582204
470	3.972651376
471	3.972384903
472	3.969477009
473	3.965157758
474	3.962799532
475	3.961703234
476	3.95813351
477	3.957125853
478	3.953726006
479	3.952886537
480	3.949159885
481	3.946595634
482	3.942828459
483	3.942048612
484	3.941787332
485	3.939879595
486	3.935704052
487	3.933629878
488	3.932165064
489	3.929206592
490	3.927008062
491	3.925488081
492	3.919358173
493	3.918041295
494	3.916022652
495	3.914851702
496	3.913867037
497	3.909198821
498	3.905400213
499	3.899049086
500	3.894187714
501	3.891594357
502	3.890074133
503	3.887844997
504	3.884971302
505	3.883765006
506	3.882185719
507	3.881445778
508	3.877060042
509	3.875069587
510	3.871591037
511	3.871146263
512	3.868445366
513	3.86808471
514	3.867053154
515	3.866687219
516	3.866283973
517	3.863408268
518	3.861973445
519	3.861766307
520	3.860095381
521	3.858303144
522	3.855177829
523	3.851582264
524	3.849769892
525	3.847055093
526	3.845220056
527	3.842256723
528	3.841679394
529	3.839443827
530	3.838117006
531	3.83708452
532	3.833838582
533	3.832552209
534	3.832183981
535	3.831919527
536	3.830935572
537	3.827948672
538	3.824789217
539	3.824700004
540	3.821625996
541	3.816552471
542	3.816274957
543	3.815312378
544	3.814564696
545	3.812745857
546	3.811163187
547	3.809222866
548	3.809060021
549	3.808352255
550	3.804700224
551	3.802985433
552	3.800546342
553	3.795349906
554	3.792048919
555	3.789304922
556	3.788123966
557	3.784965087
558	3.783601804
559	3.782628071
560	3.780839019
561	3.778883585
562	3.778710783
563	3.776834449
564	3.7751128
565	3.772688496
566	3.772156357
567	3.769741413
568	3.768472018
569	3.765951179
570	3.763619763
571	3.76223336
572	3.760115858
573	3.757929991
574	3.756236267
575	3.752196352
576	3.751550552
577	3.750675388
578	3.747836392
579	3.746832973
580	3.746697265
581	3.746006824
582	3.741791616
583	3.740442655
584	3.74001913
585	3.737102029
586	3.736048227
587	3.735917335
588	3.735685288
589	3.733344428
590	3.732186642
591	3.731245184
592	3.729728255
593	3.729435938
594	3.726088464
595	3.724043995
596	3.721241316
597	3.719195361
598	3.716779709
599	3.715194018
600	3.714116575
601	3.712559218
602	3.711913422
603	3.710864566
604	3.708707278
605	3.705534009
606	3.702311572
607	3.699096722
608	3.69603729
609	3.693351261
610	3.691081698
611	3.68845404
612	3.688290179
613	3.686241571
614	3.683295425
615	3.680971117
616	3.679090356
617	3.677708363
618	3.677039347
619	3.674801569
620	3.671396791
621	3.671026821
622	3.670374201
623	3.667229494
624	3.66477413
625	3.66455949
626	3.662329154
627	3.66048275
628	3.659910624
629	3.659132931
630	3.657530541
631	3.655628659
632	3.655082343
633	3.653822481
634	3.65246958
635	3.650580379
636	3.648545024
637	3.647135052
638	3.646023853
639	3.645651308
640	3.639837954
641	3.636145845
642	3.634534269
643	3.632916103
644	3.630978857
645	3.628266166
646	3.62666378
647	3.623969152
648	3.623358695
649	3.622681209
650	3.6190342
651	3.61862425
652	3.616064317
653	3.614602003
654	3.613350657
655	3.611129278
656	3.607979007
657	3.607520576
658	3.605660682
659	3.603895348
660	3.601623986
661	3.601089599
662	3.599637293
663	3.597490334
664	3.596804026
665	3.594255556
666	3.592372964
667	3.591914392
668	3.58979885
669	3.588363571
670	3.585524908
671	3.583280657
672	3.582348365
673	3.580071655
674	3.57862969
675	3.576828896
676	3.575414291
677	3.575056854
678	3.574062904
679	3.570764035
680	3.567314177
681	3.566559433
682	3.565250986
683	3.560273236
684	3.558611254
685	3.556957502
686	3.554420928
687	3.551834489
688	3.550346809
689	3.545889599
690	3.545314522
691	3.543454351
692	3.541178187
693	3.538702222
694	3.53404387
695	3.533030178
696	3.53106344
697	3.527808129
698	3.525612587
699	3.524259718
700	3.524056111
701	3.51939249
702	3.518284256
703	3.518093953
704	3.517126643
705	3.511113382
706	3.509543967
707	3.507059528
708	3.505575075
709	3.50522298
710	3.503909337
711	3.502885626
712	3.502065918
713	3.499642016
714	3.498355263
715	3.496218099
716	3.495996234
717	3.495782288
718	3.493075048
719	3.491717116
720	3.489068141
721	3.488000775
722	3.484589092
723	3.482329084
724	3.479930159
725	3.479725093
726	3.477256398
727	3.476043046
728	3.473896939
729	3.472782186
730	3.468594812
731	3.46680661
732	3.464071744
733	3.461695937
734	3.460164073
735	3.458924238
736	3.457483965
737	3.453705435
738	3.452171425
739	3.451695894
740	3.44965558
741	3.448919121
742	3.445803985
743	3.445499831
744	3.445317582
745	3.444932579
746	3.443504246
747	3.442662679
748	3.440522566
749	3.44034734
750	3.439325088
751	3.437041458
752	3.435765228
753	3.43440885
754	3.43292515
755	3.43031904
756	3.424725882
757	3.423113318
758	3.421030777
759	3.419515253
760	3.415342374
761	3.412197675
762	3.41140588
763	3.410917281
764	3.407365822
765	3.405608447
766	3.404749444
767	3.40104989
768	3.399083277
769	3.397891132
770	3.393503188
771	3.38981433
772	3.386223587
773	3.383581995
774	3.3826088
775	3.382190262
776	3.381711613
777	3.379822748
778	3.378420749
779	3.377613621
780	3.376180505
781	3.3752575
782	3.374435276
783	3.370316178
784	3.368917742
785	3.368800957
786	3.367055895
787	3.36667306
788	3.365093967
789	3.363291105
790	3.362101824
791	3.36178266
792	3.360208961
793	3.358546126
794	3.357619193
795	3.356181223
796	3.355199825
797	3.354809688
798	3.353433174
799	3.352721244
800	3.351619324
801	3.350352108
802	3.349025775
803	3.344897376
804	3.344111774
805	3.343493057
806	3.342242867
807	3.340356829
808	3.339069723
809	3.335335573
810	3.334139577
811	3.330402345
812	3.327490273
813	3.32634453
814	3.324503176
815	3.32324517
816	3.320439395
817	3.316548803
818	3.3149149
819	3.314341235
820	3.312917022
821	3.311915012
822	3.30986978
823	3.309441605
824	3.305555486
825	3.304045957
826	3.301774905
827	3.300458673
828	3.300214972
829	3.298416433
830	3.296582376
831	3.294697865
832	3.29415083
833	3.291267521
834	3.287832026
835	3.287504093
836	3.287373458
837	3.285876488
838	3.282093298
839	3.280677567
840	3.277662314
841	3.275593303
842	3.274591896
843	3.271949042
844	3.270523619
845	3.268633038
846	3.267932323
847	3.263583788
848	3.261144811
849	3.257715852
850	3.255939341
851	3.255050074
852	3.253879562
853	3.253553527
854	3.252154048
855	3.251345781
856	3.251221938
857	3.250053551
858	3.249290666
859	3.247066535
860	3.246336457
861	3.245750015
862	3.245422834
863	3.243747705
864	3.243298235
865	3.242049101
866	3.239850845
867	3.238383931
868	3.23657614
869	3.235248659
870	3.232765309
871	3.230148262
872	3.227673136
873	3.226547362
874	3.224013118
875	3.22343668
876	3.221005068
877	3.220541564
878	3.218757261
879	3.216687431
880	3.215801864
881	3.214492128
882	3.212979947
883	3.211980239
884	3.211641774
885	3.210374591
886	3.207993896
887	3.207590303
888	3.204802291
889	3.203266874
890	3.20318822
891	3.201402769
892	3.199089764
893	3.19646426
894	3.19365888
895	3.191578607
896	3.190116175
897	3.189905866
898	3.189683741
899	3.187542952
900	3.185724973
901	3.185187577
902	3.18418653
903	3.182840473
904	3.181623604
905	3.178203374
906	3.178036679
907	3.177970237
908	3.176162152
909	3.174093974
910	3.173919969
911	3.173447965
912	3.173126259
913	3.173073216
914	3.169851618
915	3.169823064
916	3.167448309
917	3.165961266
918	3.164569367
919	3.163640505
920	3.16277511
921	3.160537981
922	3.159728148
923	3.159244425
924	3.158420271
925	3.154906883
926	3.151809205
927	3.150514267
928	3.149576229
929	3.148357444
930	3.148310792
931	3.146852815
932	3.143500606
933	3.143145271
934	3.13981008
935	3.138787517
936	3.13831472
937	3.137184438
938	3.136979717
939	3.136079457
940	3.13367154
941	3.130696461
942	3.128228174
943	3.127295639
944	3.125431127
945	3.124200994
946	3.121972849
947	3.119807841
948	3.119565132
949	3.118610522
950	3.115832235
951	3.114051257
952	3.111544833
953	3.110821387
954	3.108646787
955	3.106937284
956	3.105955674
957	3.103580831
958	3.101994992
959	3.098373528
960	3.09795875
961	3.097797355
962	3.095754207
963	3.095577761
964	3.094440757
965	3.092479826
966	3.091399991
967	3.088520509
968	3.08661676
969	3.085406388
970	3.084855114
971	3.084708812
972	3.083208894
973	3.081580443
974	3.080250739
975	3.079649307
976	3.076643391
977	3.075347437
978	3.074847768
979	3.073883362
980	3.06799114
981	3.067209788
982	3.065667512
983	3.063655495
984	3.063362927
985	3.060022368
986	3.057718976
987	3.057155501
988	3.055701859
989	3.05428257
990	3.053846299
991	3.049925206
992	3.047741765
993	3.047327603
994	3.044834535
995	3.04394598
996	3.043109967
997	3.042330516
998	3.03980057
999	3.039755734
